Year, Number of Storms, Total SEPI 
1912, 16, 58.203386 
1913, 11, 40.413800 
1914, 13, 88.017424 
1915, 10, 41.783510 
1916, 13, 53.857983 
1917, 13, 29.995744 
1918, 10, 51.776863 
1919, 9, 75.002263 
1920, 12, 49.482164 
1921, 8, 21.674303 
1922, 6, 24.625733 
1923, 13, 38.288184 
1924, 16, 60.745925 
1925, 9, 45.459353 
1926, 12, 53.049655 
1927, 14, 57.249578 
1928, 13, 29.518012 
1929, 13, 66.712647 
1930, 9, 42.558666 
1931, 5, 105.341227 
1932, 18, 69.737124 
1933, 19, 99.419654 
1934, 8, 49.143430 
1935, 8, 15.769277 
1936, 11, 53.392541 
1937, 10, 34.731351 
1938, 9, 22.552247 
1939, 5, 25.824754 
1940, 11, 57.359792 
1941, 7, 24.931243 
1942, 12, 77.730292 
1943, 6, 13.974081 
1944, 8, 73.770324 
1945, 12, 76.387612 
1946, 4, 11.660269 
1947, 30, 134.842538 
1948, 12, 72.651612 
1949, 7, 26.048899 
1950, 25, 91.852178 
1951, 27, 79.658880 
1952, 13, 49.567787 
1953, 20, 105.097621 
1954, 27, 72.431857 
1955, 13, 61.560003 
1956, 10, 37.757040 
1957, 12, 33.670654 
1958, 18, 119.896504 
1959, 11, 64.968118 
1960, 13, 73.649611 
1961, 14, 36.110444 
1962, 13, 67.172255 
1963, 23, 99.857789 
1964, 13, 46.424093 
1965, 12, 29.740986 
1966, 10, 83.424865 
1967, 11, 71.610287 
1968, 13, 60.784128 
1969, 13, 93.548852 
1970, 16, 75.609495 
1971, 14, 58.153493 
1972, 16, 100.885250 
1973, 20, 102.748016 
1974, 19, 79.079224 
1975, 11, 47.888242 
1976, 13, 45.318874 
1977, 21, 101.635592 
1978, 12, 81.276840 
1979, 13, 146.689369 
1980, 10, 35.514208 
1981, 15, 61.351413 
1982, 14, 62.697922 
1983, 24, 93.771261 
1984, 12, 79.750475 
1985, 13, 52.121112 
1986, 11, 41.509903 
1987, 12, 76.991104 
1988, 13, 54.837568 
1989, 11, 24.455781 
1990, 9, 48.689674 
1991, 13, 137.291070 
1992, 14, 87.144469 
1993, 19, 86.066077 
1994, 8, 42.201271 
1995, 10, 60.485970 
1996, 17, 87.591346 
1997, 14, 62.687101 
1998, 11, 58.597680 
1999, 9, 41.363981 
2000, 11, 41.435981 
2001, 6, 71.991857 
2002, 14, 61.372997 
2003, 18, 90.491866 
2004, 12, 62.594831 
2005, 21, 151.745331 
2006, 11, 86.304903 
2007, 14, 136.563399 
2008, 20, 79.901504 
2009, 13, 70.746223 
2010, 22, 110.804217 
2011, 15, 50.398503 
2012, 13, 166.348514 
2013, 6, 91.729770 
2014, 13, 42.393461 
2015, 9, 43.661682 
2016, 13, 53.107483 
2017, 18, 79.740612 
2018, 16, 207.097042 
2019, 18, 72.708807 
2020, 16, 56.968530 
2021, 16, 85.010957 
2022, 14, 72.756152 
