Year, Number of Storms, Total SEPI 
1938, 18, 24.096540 
1939, 16, 22.745080 
1940, 19, 42.423431 
1941, 16, 37.329543 
1942, 20, 64.621390 
1943, 11, 20.706739 
1944, 19, 76.937476 
1945, 15, 44.759183 
1946, 13, 11.553090 
1947, 23, 71.622686 
1948, 14, 34.709893 
1949, 19, 20.260114 
1950, 26, 69.933712 
1951, 16, 38.333710 
1952, 16, 36.956315 
1953, 22, 46.870954 
1954, 13, 56.250839 
1955, 6, 26.272373 
1956, 16, 41.624715 
1957, 17, 25.733883 
1958, 24, 96.578047 
1959, 24, 46.730626 
1960, 15, 57.881894 
1961, 27, 65.723681 
1962, 20, 72.139239 
1963, 20, 57.029524 
1964, 18, 30.389190 
1965, 35, 37.698517 
1966, 20, 64.447467 
1967, 18, 26.812130 
1968, 25, 59.176832 
1969, 24, 44.667557 
1970, 19, 45.420086 
1971, 13, 30.962980 
1972, 24, 99.380028 
1973, 15, 31.818379 
1974, 28, 52.245514 
1975, 22, 32.271284 
1976, 20, 36.906511 
1977, 25, 85.539996 
1978, 53, 106.239505 
1979, 14, 68.261081 
1980, 18, 43.553542 
1981, 21, 30.490853 
1982, 23, 53.291461 
1983, 26, 58.574913 
1984, 14, 39.179445 
1985, 23, 46.190562 
1986, 16, 29.869846 
1987, 18, 45.045699 
1988, 21, 30.766016 
1989, 15, 19.520677 
1990, 19, 32.833840 
1991, 21, 85.766634 
1992, 16, 71.139098 
1993, 23, 47.472428 
1994, 18, 44.970842 
1995, 19, 43.700938 
1996, 24, 60.991639 
1997, 24, 47.466324 
1998, 23, 53.289830 
1999, 19, 32.912309 
2000, 27, 35.198629 
2001, 11, 37.564245 
2002, 14, 30.250467 
2003, 16, 34.006226 
2004, 19, 41.538917 
2005, 23, 47.038052 
2006, 17, 48.168519 
2007, 20, 62.310733 
2008, 29, 42.008138 
2009, 22, 39.981801 
2010, 23, 60.146306 
2011, 17, 30.429725 
2012, 14, 88.161287 
2013, 12, 50.739949 
2014, 14, 33.364071 
2015, 16, 29.913256 
2016, 17, 43.550781 
2017, 19, 45.250341 
2018, 19, 92.616813 
2019, 20, 60.869125 
2020, 17, 44.369873 
2021, 14, 77.832154 
2022, 19, 52.088374 
