Year, Number of Storms, Total SEPI 
1947, 8, 101.065338 
1948, 20, 102.934588 
1949, 19, 57.237406 
1950, 20, 155.468357 
1951, 22, 103.890166 
1952, 19, 111.738739 
1953, 25, 128.494011 
1954, 24, 87.484980 
1955, 16, 136.131253 
1956, 23, 156.040522 
1957, 27, 87.205280 
1958, 21, 291.545439 
1959, 12, 81.045944 
1960, 17, 143.667218 
1961, 22, 214.839438 
1962, 17, 190.618655 
1963, 29, 126.973903 
1964, 18, 110.975821 
1965, 16, 51.023531 
1966, 22, 110.039974 
1967, 20, 113.298150 
1968, 16, 134.848934 
1969, 19, 145.028884 
1970, 14, 63.755670 
1971, 11, 55.060588 
1972, 28, 355.089679 
1973, 26, 167.590919 
1974, 10, 66.118921 
1975, 20, 93.267833 
1976, 23, 80.662962 
1977, 14, 155.948197 
1978, 21, 181.019265 
1979, 14, 144.188253 
1980, 16, 131.421185 
1981, 21, 67.393426 
1982, 23, 127.467510 
1983, 33, 163.844302 
1984, 18, 117.965266 
1985, 21, 125.120823 
1986, 17, 96.332630 
1987, 23, 124.746327 
1988, 20, 104.066529 
1989, 18, 62.716341 
1990, 17, 89.041309 
1991, 18, 196.014824 
1992, 12, 200.923113 
1993, 20, 147.865432 
1994, 14, 115.457000 
1995, 14, 94.019219 
1996, 26, 191.770912 
1997, 26, 169.370918 
1998, 18, 207.526147 
1999, 20, 71.972744 
2000, 15, 69.315274 
2001, 9, 105.471701 
2002, 20, 108.447438 
2003, 18, 118.512138 
2004, 12, 52.429970 
2005, 22, 154.425429 
2006, 9, 58.806336 
2007, 20, 176.286786 
2008, 23, 133.633610 
2009, 18, 135.019898 
2010, 26, 196.111878 
2011, 20, 71.535327 
2012, 16, 240.610242 
2013, 14, 136.942652 
2014, 17, 99.129076 
2015, 15, 101.060676 
2016, 16, 106.578795 
2017, 20, 119.593694 
2018, 22, 273.474600 
2019, 17, 179.071226 
2020, 23, 117.070553 
2021, 16, 205.421286 
2022, 17, 156.941144 
