Year, Number of Storms, Total SEPI 
1926, 2, 4.111515 
1927, 19, 137.555033 
1928, 16, 81.939007 
1929, 23, 113.854283 
1930, 25, 57.245847 
1931, 15, 86.273434 
1932, 25, 213.397862 
1933, 19, 130.790845 
1934, 21, 37.628640 
1935, 17, 106.254244 
1936, 16, 81.999957 
1937, 21, 86.521522 
1938, 18, 61.709073 
1939, 19, 56.244462 
1940, 18, 90.521307 
1941, 18, 59.702489 
1942, 22, 86.221645 
1943, 14, 83.417275 
1944, 16, 120.239114 
1945, 12, 135.725636 
1946, 17, 28.037694 
1947, 19, 97.482388 
1948, 17, 47.195408 
1949, 16, 40.165264 
1950, 18, 196.934816 
1951, 19, 91.541065 
1952, 16, 112.441996 
1953, 16, 103.509810 
1954, 17, 39.988946 
1955, 18, 144.956798 
1956, 16, 104.308497 
1957, 16, 56.716767 
1958, 10, 35.595305 
1959, 16, 92.006436 
1960, 17, 106.208933 
1961, 19, 159.827656 
1962, 18, 184.546989 
1963, 16, 90.324795 
1964, 16, 58.370452 
1965, 16, 57.206369 
1966, 20, 95.438322 
1967, 24, 98.320910 
1968, 17, 117.035029 
1969, 15, 88.639543 
1970, 18, 103.180371 
1971, 20, 76.360575 
1972, 25, 192.359381 
1973, 22, 133.308608 
1974, 14, 41.906459 
1975, 13, 62.148612 
1976, 19, 56.249767 
1977, 13, 202.341607 
1978, 25, 134.313400 
1979, 16, 104.490503 
1980, 14, 100.977850 
1981, 8, 34.695038 
1982, 20, 92.047679 
1983, 26, 116.208000 
1984, 18, 123.346214 
1985, 14, 146.913619 
1986, 18, 73.187928 
1987, 23, 66.348610 
1988, 16, 78.012788 
1989, 14, 56.368769 
1990, 14, 59.902491 
1991, 15, 147.236473 
1992, 11, 216.593460 
1993, 17, 139.814984 
1994, 14, 100.580443 
1995, 12, 90.231939 
1996, 18, 156.954764 
1997, 15, 56.550313 
1998, 18, 163.037569 
1999, 16, 57.779163 
2000, 16, 63.170053 
2001, 2, 23.305023 
2002, 14, 80.089193 
2003, 14, 96.437196 
2004, 9, 50.086470 
2005, 16, 138.176748 
2006, 14, 121.832041 
2007, 21, 136.999331 
2008, 20, 89.031850 
2009, 21, 132.564435 
2010, 20, 131.900820 
2011, 11, 58.062458 
2012, 11, 271.173674 
2013, 13, 121.838403 
2014, 15, 75.816473 
2015, 14, 100.026861 
2016, 15, 135.434716 
2017, 20, 109.366038 
2018, 20, 215.250606 
2019, 17, 129.679905 
2020, 15, 62.569620 
2021, 11, 167.852468 
2022, 15, 157.816855 
