Year, Number of Storms, Total SEPI 
1932, 6, 82.567322 
1933, 13, 117.051243 
1934, 12, 23.918918 
1935, 13, 101.169786 
1936, 12, 55.085979 
1937, 16, 58.513201 
1938, 18, 61.310775 
1939, 10, 41.147228 
1940, 16, 75.001915 
1941, 17, 57.971869 
1942, 18, 69.783559 
1943, 11, 89.828034 
1944, 15, 124.541806 
1945, 13, 142.044324 
1946, 11, 20.724373 
1947, 14, 85.306855 
1948, 17, 54.122744 
1949, 13, 31.370956 
1950, 15, 158.325538 
1951, 16, 84.916931 
1952, 15, 97.323074 
1953, 13, 98.575141 
1954, 15, 41.489266 
1955, 14, 107.722711 
1956, 12, 114.559588 
1957, 11, 49.199226 
1958, 23, 125.324578 
1959, 14, 74.059013 
1960, 6, 55.719759 
1961, 15, 172.429242 
1962, 13, 175.632003 
1963, 12, 51.331793 
1964, 15, 61.566069 
1965, 11, 47.651238 
1966, 16, 87.680663 
1967, 19, 99.407545 
1968, 15, 109.181275 
1969, 13, 73.044520 
1970, 19, 94.023315 
1971, 19, 71.039298 
1972, 24, 176.404935 
1973, 24, 127.142565 
1974, 18, 94.113750 
1975, 12, 52.603209 
1976, 22, 60.796531 
1977, 17, 190.672371 
1978, 18, 92.316184 
1979, 11, 53.124655 
1980, 11, 85.989347 
1981, 5, 27.007288 
1982, 14, 72.807548 
1983, 21, 76.478037 
1984, 14, 117.700465 
1985, 13, 129.366568 
1986, 18, 63.041884 
1987, 15, 69.099249 
1988, 18, 75.479460 
1989, 13, 53.097385 
1990, 17, 59.908021 
1991, 15, 146.473241 
1992, 8, 196.991048 
1993, 15, 137.796120 
1994, 13, 104.293306 
1995, 8, 77.503695 
1996, 14, 82.675497 
1997, 21, 92.558172 
1998, 18, 162.882323 
1999, 13, 37.475788 
2000, 17, 55.167564 
2001, 6, 69.584201 
2002, 10, 74.931308 
2003, 12, 95.145077 
2004, 14, 52.744151 
2005, 13, 138.638925 
2006, 17, 116.654161 
2007, 18, 112.438585 
2008, 21, 83.177420 
2009, 17, 122.270243 
2010, 20, 124.892516 
2011, 11, 48.006693 
2012, 12, 191.479750 
2013, 13, 111.450561 
2014, 16, 73.608763 
2015, 13, 80.213235 
2016, 12, 112.918998 
2017, 15, 85.858303 
2018, 16, 188.774360 
2019, 13, 122.246839 
2020, 14, 57.684538 
2021, 9, 152.579656 
2022, 15, 131.142858 
