Year, Number of Storms, Total SEPI 
1922,3,16.510878
1923,13,95.133303
1924,18,159.777805
1925,11,121.877658
1926,9,50.699765
1927,21,154.423441
1928,15,103.424252
1929,18,131.751769
1930,18,88.48421
1931,16,121.534999
1932,24,269.333245
1933,18,236.505498
1934,13,33.046876
1935,10,170.561659
1936,18,67.539091
1937,12,116.180602
1938,15,82.36615
1939,16,140.750962
1940,15,134.131165
1941,18,94.579302
1942,15,84.980615
1943,12,138.222504
1944,14,162.994705
1945,11,215.515953
1946,17,69.182349
1947,19,132.557497
1948,18,155.845999
1949,13,71.504571
1950,11,164.2004
1951,14,119.081024
1952,13,149.536264
1953,16,125.462929
1954,13,72.256917
1955,13,120.462837
1956,13,166.465889
1957,14,92.863632
1958,24,198.195376
1959,13,68.564818
1960,20,146.770555
1961,12,183.83411
1962,14,207.49663
1963,22,87.792824
1964,12,93.515312
1965,7,49.298681
1966,14,95.629388
1967,18,138.648225
1968,15,149.213627
1969,13,117.679987
1971,7,30.976243
1972,24,216.896624
1973,21,219.955538
1974,15,104.246246
1975,14,78.622931
1976,15,71.052739
1977,13,177.837239
1978,9,76.92145
1979,13,82.680023
1980,15,162.871672
1981,12,66.158859
1982,16,142.165859
1983,26,124.06106
1984,13,133.692823
1985,12,203.948112
1986,21,71.352592
1987,15,104.755138
1988,18,118.055913
1989,10,61.499545
1990,13,83.542667
1991,18,295.229175
1992,12,268.90024
1993,18,217.827363
1994,16,133.976013
1995,10,88.330091
1996,20,201.894156
1997,22,113.950186
1998,18,228.86724
1999,16,69.007777
2000,12,80.941745
2001,8,71.264248
2002,11,60.421889
2003,11,117.025205
2004,9,65.580226
2005,15,153.29475
2006,17,158.259357
2007,18,139.703403
2008,16,141.730601
2009,17,251.227871
2010,18,125.139804
2011,14,58.172948
2012,13,197.299842
2013,10,149.184006
2014,15,131.720702
2015,8,176.993013
2016,13,197.84362
2017,19,136.611402
2018,16,237.178021
2019,12,199.355801
2020,18,95.310253
2021,15,192.417019
2022,15,231.077405
