Year, Number of Storms, Total SEPI 
1927, 1, 2.304610 
1928, 10, 148.269885 
1929, 16, 204.092173 
1930, 12, 107.059286 
1931, 9, 100.261323 
1932, 15, 272.389689 
1933, 15, 396.971398 
1934, 13, 68.674754 
1935, 13, 195.326268 
1936, 16, 95.260169 
1937, 16, 217.260704 
1938, 18, 103.517955 
1939, 15, 172.692793 
1940, 12, 132.776979 
1941, 13, 97.739884 
1942, 8, 67.721366 
1943, 4, 77.679777 
1944, 20, 113.802090 
1945, 11, 193.953333 
1946, 16, 204.277238 
1947, 16, 167.984262 
1948, 23, 145.296967 
1949, 10, 132.552363 
1950, 14, 72.374736 
1951, 11, 179.743939 
1952, 12, 155.034578 
1953, 14, 139.412317 
1954, 17, 187.703970 
1955, 14, 128.140684 
1956, 15, 404.747747 
1957, 13, 173.547845 
1958, 16, 260.788113 
1959, 19, 108.609638 
1960, 18, 122.745645 
1961, 9, 160.006365 
1962, 14, 356.633253 
1963, 19, 125.676821 
1964, 17, 210.788996 
1965, 10, 128.357333 
1966, 17, 137.520716 
1967, 17, 146.920372 
1968, 11, 191.214072 
1969, 17, 215.457415 
1970, 10, 108.010235 
1971, 14, 184.411669 
1972, 20, 220.904698 
1973, 16, 255.072016 
1974, 18, 142.490210 
1975, 13, 111.250911 
1976, 15, 137.147535 
1977, 12, 279.355605 
1978, 12, 158.176798 
1979, 12, 106.092627 
1980, 14, 175.095669 
1981, 8, 133.176454 
1982, 16, 235.965820 
1983, 20, 244.270887 
1984, 10, 98.602080 
1985, 15, 273.946474 
1986, 14, 125.727675 
1987, 17, 259.450031 
1988, 12, 211.820815 
1989, 10, 161.860794 
1990, 8, 97.009726 
1991, 16, 268.475175 
1992, 8, 289.435254 
1993, 17, 240.648561 
1994, 16, 312.270608 
1995, 10, 156.787043 
1996, 13, 143.576497 
1997, 13, 167.816288 
1998, 15, 557.269301 
1999, 15, 266.625134 
2000, 12, 243.151537 
2001, 10, 97.999332 
2002, 10, 64.330631 
2003, 15, 260.012957 
2004, 17, 150.474604 
2005, 14, 163.579860 
2006, 14, 325.135923 
2007, 15, 127.909699 
2008, 12, 232.423583 
2009, 13, 446.836163 
2010, 17, 248.421037 
2011, 12, 101.462976 
2012, 17, 196.277775 
2013, 12, 214.699454 
2014, 12, 145.279763 
2015, 12, 359.746201 
2016, 14, 298.658899 
2017, 13, 232.002453 
2018, 13, 182.312276 
2019, 14, 234.466542 
2020, 11, 129.498946 
2021, 18, 222.161991 
2022, 12, 388.246899 
