Year, Number of Storms, Total SEPI 
1936, 3, 4.085150 
1937, 4, 3.913662 
1938, 1, 0.860703 
1939, 3, 2.688174 
1942, 2, 5.305781 
1943, 2, 1.380577 
1944, 4, 14.189399 
1945, 10, 123.461562 
1946, 1, 0.754369 
1947, 11, 28.416483 
1948, 1, 0.982351 
1949, 3, 2.341264 
1950, 1, 0.693280 
1951, 3, 4.613224 
1952, 5, 14.974707 
1953, 3, 3.568682 
1954, 2, 21.331886 
1955, 4, 14.031385 
1956, 2, 1.718482 
1957, 6, 9.320870 
1958, 4, 7.153815 
1959, 7, 8.311448 
1960, 4, 5.021042 
1961, 4, 9.655634 
1962, 7, 11.123390 
1963, 7, 5.628239 
1964, 9, 11.192125 
1965, 2, 1.892727 
1966, 5, 4.067502 
1968, 4, 5.899183 
1969, 2, 5.587640 
1970, 3, 2.750449 
1971, 2, 1.501121 
1972, 10, 16.146009 
1973, 9, 14.115211 
1974, 1, 1.065896 
1976, 3, 4.856970 
1977, 5, 10.575016 
1978, 5, 6.217590 
1979, 4, 20.342830 
1980, 1, 0.817984 
1981, 2, 1.521399 
1982, 6, 6.528061 
1983, 9, 19.831707 
1984, 3, 18.745329 
1985, 4, 10.070680 
1986, 4, 5.275834 
1987, 5, 11.475340 
1989, 2, 11.214149 
1990, 2, 5.344113 
1991, 3, 18.343728 
1992, 3, 8.893037 
1993, 8, 35.780853 
1994, 9, 7.630138 
1995, 6, 6.044732 
1996, 11, 72.693460 
1997, 1, 0.817600 
1998, 10, 73.630241 
1999, 15, 94.736560 
2001, 1, 5.871749 
2002, 6, 18.950567 
2003, 10, 11.053455 
2004, 7, 10.430757 
2005, 9, 17.873700 
2006, 13, 26.614410 
2007, 6, 13.274800 
2008, 11, 46.952927 
2009, 16, 60.210460 
2010, 11, 32.500900 
2011, 1, 2.511480 
2012, 3, 3.982699 
2013, 2, 2.023680 
2015, 8, 85.701043 
2016, 10, 107.805815 
2017, 6, 6.280556 
2018, 8, 382.408911 
2019, 4, 5.352258 
2020, 5, 19.512675 
2021, 3, 9.371744 
2022, 9, 35.348248 
