Year, Number of Storms, Total SEPI 
1922, 21, 50.720259 
1923, 12, 11.043997 
1924, 21, 23.780758 
1925, 17, 17.986550 
1926, 18, 52.703848 
1927, 9, 11.645653 
1928, 14, 36.336237 
1929, 14, 44.778076 
1930, 20, 45.999361 
1931, 9, 39.435317 
1932, 15, 43.006473 
1933, 21, 56.133285 
1934, 10, 31.540029 
1935, 15, 18.989898 
1936, 10, 14.062803 
1937, 16, 19.976980 
1938, 13, 25.430664 
1939, 6, 6.559804 
1940, 15, 48.316838 
1941, 12, 19.696640 
1942, 5, 8.240384 
1943, 17, 23.184432 
1944, 7, 30.504510 
1945, 9, 29.423556 
1946, 8, 28.389054 
1947, 21, 83.620412 
1948, 15, 24.641045 
1949, 18, 41.511181 
1950, 7, 26.228357 
1951, 10, 9.536777 
1952, 10, 20.426561 
1953, 14, 18.676174 
1954, 11, 37.668235 
1955, 8, 11.494932 
1956, 22, 36.293151 
1957, 14, 39.543799 
1958, 16, 28.762390 
1959, 16, 88.924141 
1960, 22, 54.696956 
1961, 13, 17.234343 
1962, 16, 100.705076 
1963, 16, 72.617205 
1964, 24, 66.237485 
1965, 16, 23.537784 
1966, 23, 43.338923 
1967, 8, 24.825388 
1968, 22, 55.914508 
1969, 13, 66.628749 
1970, 14, 46.528557 
1971, 6, 61.542191 
1972, 12, 32.359893 
1973, 16, 79.953262 
1974, 15, 39.801667 
1975, 10, 20.890785 
1976, 11, 31.083623 
1977, 18, 29.529970 
1978, 11, 20.268099 
1979, 12, 40.361867 
1980, 28, 74.730039 
1981, 12, 39.525522 
1982, 16, 33.321468 
1983, 21, 91.807974 
1984, 16, 39.214746 
1985, 12, 35.079870 
1986, 12, 34.767673 
1987, 15, 65.126276 
1988, 6, 5.965816 
1989, 15, 81.972012 
1990, 5, 12.367142 
1991, 11, 38.608626 
1992, 19, 65.253337 
1993, 19, 76.880623 
1994, 23, 118.312597 
1995, 14, 27.819469 
1996, 10, 64.391362 
1997, 13, 47.480374 
1998, 15, 130.530403 
1999, 16, 54.964946 
2000, 9, 19.632215 
2001, 9, 45.506928 
2002, 12, 51.096683 
2003, 16, 22.099226 
2004, 12, 23.541336 
2005, 21, 53.389236 
2006, 8, 11.097038 
2007, 13, 50.972963 
2008, 9, 37.589992 
2009, 18, 94.747830 
2010, 13, 36.934223 
2011, 9, 27.644992 
2012, 16, 49.153479 
2013, 8, 44.472536 
2014, 11, 29.758870 
2015, 11, 76.627200 
2016, 15, 78.674317 
2017, 11, 68.120805 
2018, 13, 58.706242 
2019, 9, 38.565732 
2020, 14, 18.562918 
2021, 12, 19.743797 
2022, 11, 85.308747 
