Year, Number of Storms, Total SEPI 
1938, 3, 3.815126 
1939, 11, 23.154624 
1940, 16, 67.566937 
1941, 11, 28.190656 
1942, 11, 15.017734 
1943, 14, 29.080720 
1944, 7, 44.032999 
1945, 7, 13.627035 
1946, 22, 41.109138 
1947, 23, 125.778232 
1948, 24, 51.631072 
1949, 17, 54.519206 
1950, 15, 88.926588 
1951, 9, 25.947404 
1952, 6, 21.960513 
1953, 26, 66.325041 
1954, 9, 45.919919 
1955, 11, 19.537287 
1956, 28, 63.265245 
1957, 18, 44.928055 
1958, 20, 26.762733 
1959, 21, 37.798684 
1960, 10, 45.778312 
1961, 8, 13.494335 
1962, 16, 94.273100 
1963, 15, 119.768179 
1964, 32, 172.111936 
1965, 19, 32.955388 
1966, 19, 56.176546 
1967, 20, 55.051001 
1968, 23, 80.984327 
1969, 18, 64.494263 
1970, 11, 16.128927 
1971, 15, 50.998125 
1972, 7, 41.367021 
1973, 17, 70.534855 
1974, 9, 23.957859 
1975, 5, 5.166334 
1976, 11, 33.100649 
1977, 3, 10.645462 
1978, 10, 17.769013 
1979, 13, 58.309867 
1980, 18, 33.252705 
1981, 15, 41.953957 
1982, 16, 19.884338 
1983, 18, 73.186084 
1984, 17, 60.014286 
1985, 18, 45.230710 
1986, 13, 31.151177 
1987, 18, 63.734350 
1988, 11, 15.778342 
1989, 22, 81.886910 
1990, 10, 26.861165 
1991, 14, 50.211269 
1992, 26, 146.384854 
1993, 19, 80.395755 
1994, 37, 84.099876 
1995, 4, 8.501700 
1996, 8, 52.844129 
1997, 16, 39.537170 
1998, 15, 87.201802 
1999, 12, 52.539382 
2000, 17, 23.326154 
2001, 15, 57.026406 
2002, 9, 38.485561 
2003, 9, 16.472047 
2004, 17, 77.822572 
2005, 19, 67.042199 
2006, 2, 3.236342 
2007, 21, 74.710690 
2008, 13, 79.871321 
2009, 12, 77.751702 
2010, 5, 16.932268 
2011, 15, 52.531380 
2012, 22, 70.409304 
2013, 10, 43.661107 
2014, 12, 37.154064 
2015, 18, 30.068564 
2016, 20, 83.821597 
2017, 16, 120.209129 
2018, 12, 36.680930 
2019, 12, 29.809457 
2020, 12, 54.000399 
2021, 7, 45.167972 
2022, 10, 119.900489 
