Year, Number of Storms, Total SEPI 
1926, 33, 40.803367 
1927, 4, 4.901006 
1928, 8, 6.396033 
1929, 15, 18.455505 
1930, 8, 6.239864 
1931, 13, 25.549736 
1932, 14, 39.969360 
1933, 15, 76.503722 
1934, 4, 2.338609 
1935, 15, 10.229815 
1936, 11, 18.807261 
1937, 12, 11.549438 
1938, 6, 3.044108 
1939, 5, 6.946804 
1940, 8, 15.360273 
1941, 11, 20.621336 
1942, 12, 30.431842 
1943, 14, 26.690116 
1944, 8, 29.055974 
1945, 1, 0.261708 
1946, 9, 41.102846 
1947, 19, 22.870405 
1948, 9, 35.105448 
1949, 9, 22.447749 
1950, 9, 12.942659 
1951, 8, 8.720217 
1952, 3, 0.828419 
1954, 6, 8.809035 
1955, 8, 6.035683 
1956, 8, 54.243834 
1957, 7, 4.654757 
1958, 10, 52.070436 
1959, 15, 18.930193 
1960, 10, 14.901307 
1961, 17, 9.348482 
1962, 11, 41.513750 
1963, 13, 29.313936 
1964, 9, 4.893422 
1965, 4, 26.815245 
1966, 10, 21.224971 
1967, 7, 7.049816 
1968, 15, 19.147914 
1969, 7, 16.688071 
1970, 14, 17.303175 
1971, 16, 48.361883 
1972, 9, 17.125641 
1973, 16, 45.748899 
1974, 4, 55.952084 
1975, 5, 3.436589 
1976, 5, 7.786938 
1977, 9, 14.055527 
1978, 11, 14.836444 
1979, 17, 21.603855 
1980, 10, 10.423551 
1981, 8, 15.562646 
1982, 8, 11.978416 
1983, 8, 26.208542 
1984, 16, 30.955215 
1985, 7, 22.167883 
1986, 18, 42.588287 
1987, 19, 29.311388 
1988, 11, 13.797432 
1989, 4, 1.234844 
1990, 6, 8.021685 
1991, 14, 24.914099 
1992, 14, 45.247742 
1993, 15, 26.578740 
1994, 16, 27.964169 
1995, 15, 36.595084 
1996, 15, 42.045564 
1997, 4, 2.910295 
1998, 11, 37.083807 
1999, 6, 38.144474 
2000, 5, 3.043586 
2001, 10, 52.049553 
2002, 11, 13.040841 
2003, 14, 14.142074 
2004, 9, 4.135976 
2005, 15, 72.285721 
2006, 2, 3.542381 
2007, 19, 54.197800 
2008, 12, 117.993997 
2009, 12, 80.505089 
2010, 9, 9.036864 
2011, 7, 36.988159 
2012, 8, 74.804000 
2013, 4, 11.070065 
2014, 10, 11.828066 
2015, 11, 31.850267 
2016, 25, 36.705884 
2017, 8, 56.392153 
2018, 14, 24.983529 
2019, 13, 96.015567 
2020, 10, 82.076419 
2021, 4, 19.072880 
2022, 12, 35.726468 
